category	id	Lastname 	Firstname	patronymic, toponymic	Gender	Profession	Origin	First seen	Last seen	MoCO-A since	Religion	YOB	Born in	YOD	Died in	Remark	Literature	Archives									
fiamminghi	001	-	Anna	di Arrigo, di Anversa	F		Flemish/Dutch	1611	1613									ADL, Battesimi 3, 8v, 10v, 20r, 23r, 25r, 27v, 28v, 29r, 29v (2x), 30v (3x), 31r, 62r, 68v, 69r, 77r. 									
fiamminghi	002	-	Egbert	Jansz.		merchant	Flemish/Dutch	1628	1630								"Engels 1997, p133 p181, 145; Engels 1993, p30;"										
fiamminghi	003	-	Egberto 	di Giovanni		sugar	Dutch	1629		1628								ASL, 2602-2 Atti civili- suppliche, 430r.									
fiamminghi	004	-	Filippo (Fra)			chaplain	Flemish, Brussels	1620	1630		Catholic		Brussels				Engels, 1997, p. 131.	"ADL, matrimoni 1 135v; battesimi 5, 93r."									
fiamminghi	005	-	Francesco (Fra)			chaplain	Flemish/Dutch	1622			Catholic						Kieckens, 1993, p. 36.	ASL, 3076 processo contro il Console d’Olanda, 470v (XXIV).									
fiamminghi	006	-	Guasparri (Fra)			chaplain	Flemish/Dutch	1637			Catholic						Engels, 2024, p. 34.	ADL, matrimoni 2, 143r.									
fiamminghi	007	-	Isabella	di David	F	cobbler (or the wife of a deceased cobbler)	Flemish/Dutch	1649								Possibly married to David Hendricks	Kieckens, 1993, p. 58.	ASL, catasto 201. c274.									
fiamminghi	008	-	Nicolo	di Nicodemi			Flemish	1639					Bruges			Married Gimenia di Filippo Belandi di Livorno.		ADL, Matrimoni 2, 174r									
fiamminghi	009	-	Pietro 	di Alberto			Flemish/Dutch	1651										ASL, 204 Arroti di decime, c290.									
fiamminghi	010	Ablin (Ablein, Abein)	Jacomo (Giacomo)			merchant	Flemish/Dutch	1643	1658	1643							"Kieckens, 1993, p. 80.
Panizzutt, 2024, p. 376."	ASL, 184 Atti Civili, c164.									
fiamminghi	011	Alchi, van	Jodocho (Fra)			chaplain	Flemish	1620	1630		Catholic						Engels, 1997, p. 131.	ASF, 44 Società mercantile Olandese, 270.									
fiamminghi	012	Ans	Caterina		F		Flemish/Dutch	1649										ASL, 200 Decima, c32.									
fiamminghi	013	Beaulieu	Jacob (Jacobus, Jacques)			merchant	Flemish/Dutch	1605	1620					1620	Livorno		"Brulez, 1965, p. 462. 
Engels, 1993, p. 27;
Engels, 1997, p. 138. "	ASL, 2602 Atti civili- suppliche, 444r.									
